StudentID,Name,StudyTimeWeekly,AttendanceRate,SleepHours,Failures,ParentalSupport,Extracurriculars,Tutoring,TestPrepCourse,PreviousGrade,FinalGrade,Pass
STU1000,Michael Martin,8.1,92.0,8.9,0,2,0,0,0,68.5,58.0,0
STU1001,Mark Anderson,22.2,91.2,7.5,0,1,1,0,0,62.9,66.9,1
STU1002,David Davis,20.3,84.6,5.5,0,1,0,1,0,84.8,60.4,1
STU1003,Mark Lee,17.1,94.0,8.6,0,1,1,0,0,72.3,66.7,1
STU1004,Michael Jackson,21.6,75.7,6.3,0,0,1,0,0,71.0,57.9,0
STU1005,Daniel Hernandez,21.9,88.6,8.1,1,1,1,0,0,78.1,60.4,1
STU1006,David White,18.3,61.9,8.9,1,1,0,0,0,72.1,50.1,0
STU1007,Christopher Brown,21.3,90.3,7.5,0,2,0,0,0,88.9,74.5,1
STU1008,Linda White,18.0,97.8,5.2,1,2,0,1,1,83.8,71.8,1
STU1009,John Perez,17.6,90.0,5.9,1,1,1,0,1,73.4,55.4,0
STU1010,Christopher Johnson,16.2,87.0,8.6,0,1,1,0,0,82.8,70.2,1
STU1011,Lisa Lopez,19.3,77.2,6.8,0,1,0,0,0,79.5,69.7,1
STU1012,Sandra Garcia,5.6,67.5,7.1,0,1,1,1,1,57.2,50.9,0
STU1013,Mary Lee,22.3,91.5,7.9,0,1,1,0,0,77.7,75.0,1
STU1014,James Lopez,22.1,85.4,7.8,0,1,0,1,1,76.3,80.2,1
STU1015,Betty Perez,2.7,92.8,7.3,0,1,1,0,0,69.8,57.1,0
STU1016,Mark Lopez,21.0,83.4,6.7,0,0,1,1,1,72.6,77.5,1
STU1017,Matthew Taylor,5.0,65.9,6.6,0,2,1,0,0,56.8,41.1,0
STU1018,Anthony Martinez,9.7,66.0,8.0,2,0,0,0,1,88.9,45.2,0
STU1019,Ashley Thomas,19.1,89.8,7.7,0,2,0,0,0,87.7,77.6,1
STU1020,Joseph Anderson,5.7,93.6,6.7,0,2,0,0,1,57.1,56.6,0
STU1021,Sandra Jackson,20.8,71.8,8.3,0,1,0,0,0,81.9,70.1,1
STU1022,Barbara Thompson,21.1,88.1,6.8,0,2,0,0,0,79.2,78.5,1
STU1023,Karen Harris,13.7,72.9,6.0,2,1,1,0,1,74.2,47.4,0
STU1024,John Jones,2.1,78.8,6.1,0,1,1,0,0,62.8,45.3,0
STU1025,Charles Miller,8.6,85.6,5.8,0,1,1,1,1,81.7,62.2,1
STU1026,Christopher Rodriguez,16.2,53.3,6.7,1,1,0,0,0,72.7,54.7,0
STU1027,Michael Moore,24.6,73.1,8.5,0,1,1,1,1,77.5,75.8,1
STU1028,Patricia Harris,16.5,80.1,6.0,0,1,1,0,0,85.4,64.3,1
STU1029,Margaret Wilson,8.0,98.1,7.2,0,1,1,0,1,71.5,61.0,1
STU1030,Sarah Rodriguez,16.6,94.0,6.2,1,1,1,0,1,76.5,60.1,1
STU1031,Betty Lee,14.4,65.4,6.7,0,1,1,0,0,72.8,52.3,0
STU1032,Mary Martin,19.9,96.0,5.2,0,0,1,1,1,76.9,70.3,1
STU1033,Margaret Anderson,4.5,92.0,6.7,0,0,0,0,1,65.1,45.6,0
STU1034,Margaret Miller,19.5,80.3,6.8,0,1,1,1,0,68.3,61.5,1
STU1035,Barbara Davis,14.4,97.6,7.6,1,0,0,1,0,64.8,62.2,1
STU1036,Joseph Williams,24.1,92.8,7.3,0,0,0,0,0,68.9,68.3,1
STU1037,Susan Taylor,9.9,73.3,5.6,0,2,0,1,1,49.8,54.6,0
STU1038,Patricia Moore,16.6,94.0,8.3,0,0,0,0,0,64.4,63.5,1
STU1039,Linda Brown,23.4,90.3,7.3,1,1,0,1,0,77.8,75.0,1
STU1040,Mary Garcia,4.4,97.1,7.2,0,1,0,1,0,66.9,48.6,0
STU1041,Nancy Martinez,23.6,82.3,7.0,1,2,0,0,0,75.6,58.5,0
STU1042,Patricia Perez,17.8,82.8,6.4,1,1,1,1,1,46.1,47.7,0
STU1043,Mark Moore,3.6,84.3,7.3,0,1,0,0,1,82.0,57.3,0
STU1044,Betty Lopez,8.9,85.0,7.6,0,1,1,0,0,80.6,59.1,0
STU1045,Mary Martinez,18.3,85.4,4.9,0,1,0,0,0,80.4,61.9,1
STU1046,Sandra Brown,3.5,82.6,6.4,1,1,1,0,1,85.8,54.7,0
STU1047,Susan Thomas,15.4,86.2,6.7,0,0,1,0,0,61.2,53.7,0
STU1048,Joseph Davis,10.0,87.6,7.3,0,2,1,1,0,91.4,69.5,1
STU1049,Susan Thompson,16.3,79.2,8.4,1,1,1,0,0,61.0,41.8,0
STU1050,Margaret Harris,3.1,98.8,6.1,0,1,0,0,0,67.8,46.6,0
STU1051,Sandra Davis,22.0,95.6,6.4,0,2,1,0,0,64.3,65.1,1
STU1052,Christopher Thomas,24.4,86.3,6.4,0,1,1,0,1,80.3,74.5,1
STU1053,Richard Moore,24.3,66.1,6.0,0,2,1,1,0,81.6,68.0,1
STU1054,Joseph Lee,19.2,93.0,6.6,1,1,1,1,1,75.1,66.0,1
STU1055,Lisa Harris,5.0,76.2,7.9,0,2,0,1,0,71.6,51.9,0
STU1056,Margaret Gonzalez,19.4,98.9,5.7,0,0,1,0,0,79.2,66.4,1
STU1057,William Anderson,2.6,86.6,7.5,1,2,0,0,1,56.4,39.4,0
STU1058,Richard Smith,2.5,75.4,5.0,0,2,1,1,0,54.2,40.4,0
STU1059,Matthew Miller,9.4,77.7,6.3,3,1,0,1,0,76.6,33.4,0
STU1060,William White,13.2,88.7,6.6,3,0,1,0,0,63.7,33.3,0
STU1061,James Lopez,19.7,88.1,9.0,0,1,0,0,0,87.6,70.2,1
STU1062,Linda White,17.7,77.0,6.7,0,2,0,1,1,88.0,80.3,1
STU1063,Donald Hernandez,12.3,88.8,4.4,0,1,1,1,0,50.7,51.8,0
STU1064,Charles Taylor,8.3,90.2,4.6,0,1,1,0,1,81.4,61.6,1
STU1065,Linda Williams,24.9,64.2,7.0,0,0,1,1,0,98.0,73.0,1
STU1066,John Smith,11.8,92.1,7.7,0,1,0,0,0,73.9,62.1,1
STU1067,Anthony Jones,12.4,81.1,7.5,0,1,0,0,1,76.9,66.1,1
STU1068,Elizabeth Miller,5.8,78.4,7.2,1,2,1,0,1,76.5,54.4,0
STU1069,Betty Rodriguez,20.3,84.2,8.4,0,1,1,0,0,73.2,73.3,1
STU1070,Margaret Miller,18.0,90.2,6.4,0,2,1,0,0,77.7,70.5,1
STU1071,William Davis,7.1,60.9,8.1,0,1,1,0,0,46.7,41.8,0
STU1072,Barbara Johnson,3.9,97.2,5.0,3,0,1,0,1,67.0,32.8,0
STU1073,James Thomas,17.7,69.8,5.9,0,1,1,1,1,78.2,70.7,1
STU1074,Daniel Thompson,17.1,85.9,4.8,1,1,1,1,1,80.4,61.5,1
STU1075,Sandra White,8.3,82.8,6.7,0,2,1,0,0,79.5,58.4,0
STU1076,Robert Williams,23.9,91.5,6.9,0,2,1,0,1,71.2,76.8,1
STU1077,Barbara Davis,5.5,92.1,7.1,0,1,1,1,0,59.5,54.2,0
STU1078,Nancy Williams,11.9,88.5,7.1,0,1,1,0,0,93.2,70.8,1
STU1079,James Williams,23.7,54.4,5.9,0,1,0,1,0,73.0,66.0,1
STU1080,Robert Anderson,11.7,64.5,6.8,0,2,0,1,1,69.1,54.6,0
STU1081,Susan Williams,16.7,88.5,5.2,0,2,0,0,1,73.5,63.0,1
STU1082,James Jones,11.1,82.1,8.6,2,2,1,1,0,59.0,46.9,0
STU1083,Betty Thompson,8.3,87.6,6.6,0,1,0,1,0,86.9,61.8,1
STU1084,Donald Wilson,24.6,89.2,6.4,3,1,0,0,1,74.4,66.8,1
STU1085,Michael Rodriguez,11.4,92.8,8.9,0,1,1,0,0,57.2,57.4,0
STU1086,Joseph Anderson,22.6,93.5,5.5,0,1,1,0,0,74.3,67.8,1
STU1087,Betty Martinez,7.3,80.3,5.6,0,1,1,0,1,45.0,41.5,0
STU1088,Margaret Gonzalez,6.9,81.1,5.7,0,0,1,0,1,57.5,44.7,0
STU1089,Charles Miller,2.7,80.2,6.9,0,0,1,0,0,50.2,37.4,0
STU1090,Thomas Martin,17.0,86.2,7.5,0,2,1,0,0,81.6,70.4,1
STU1091,Mark Brown,10.5,91.7,7.9,0,2,1,1,0,61.7,59.3,0
STU1092,Sandra Jones,21.9,92.0,10.0,0,1,1,0,0,89.6,78.3,1
STU1093,Daniel Miller,12.9,98.8,4.3,0,1,0,0,1,89.6,75.4,1
STU1094,Richard Anderson,24.3,80.3,7.7,1,1,1,0,0,88.5,74.2,1
STU1095,David Brown,6.3,98.6,6.3,0,2,0,0,1,64.9,59.6,0
STU1096,Richard Miller,22.0,71.3,6.3,0,2,0,0,0,77.6,60.6,1
STU1097,Anthony Jackson,19.9,78.2,6.3,0,2,1,0,0,57.0,59.8,0
STU1098,Nancy Johnson,19.7,58.6,5.9,0,2,0,0,0,70.6,63.6,1
STU1099,Elizabeth Gonzalez,21.4,76.9,9.0,0,1,1,1,1,66.0,76.5,1
STU1100,Sandra Harris,19.5,92.1,8.0,0,1,1,1,0,85.4,79.7,1
STU1101,Christopher Garcia,16.4,83.4,7.0,0,1,1,0,0,98.0,78.8,1
STU1102,Margaret Lopez,5.0,92.6,8.6,0,1,1,0,0,71.6,56.5,0
STU1103,Barbara Martin,2.7,88.3,5.2,0,2,1,0,0,45.0,42.4,0
STU1104,Sandra Hernandez,23.2,66.3,5.4,0,1,0,1,0,71.8,60.3,1
STU1105,Ashley Thompson,16.2,83.5,4.4,0,0,1,0,0,74.6,57.9,0
STU1106,Margaret Harris,20.3,95.7,6.2,2,1,1,1,0,79.3,65.7,1
STU1107,Michael Smith,13.1,90.3,7.2,0,2,1,0,0,62.9,56.7,0
STU1108,James Harris,4.7,85.8,7.1,0,1,1,0,0,67.2,47.2,0
STU1109,Anthony Harris,4.9,89.3,7.2,1,1,0,0,0,50.0,36.8,0
STU1110,Karen Gonzalez,17.8,72.5,5.3,1,1,0,1,0,61.4,48.0,0
STU1111,William Williams,11.9,77.6,8.0,0,0,0,1,0,76.6,62.1,1
STU1112,Michael Garcia,6.6,85.0,7.3,0,1,0,0,0,53.5,43.2,0
STU1113,Linda Rodriguez,13.3,75.9,7.9,3,2,1,0,1,76.1,53.8,0
STU1114,Sandra Jones,3.5,79.8,4.7,0,1,1,0,0,46.0,30.5,0
STU1115,James Jackson,15.4,95.7,7.4,2,2,0,0,0,95.5,68.2,1
STU1116,Elizabeth Lopez,8.2,64.6,5.6,0,1,1,1,0,54.6,41.0,0
STU1117,Lisa Anderson,20.3,96.8,6.5,0,0,1,1,1,75.8,66.8,1
STU1118,Anthony Perez,9.1,96.5,7.6,0,2,0,1,1,73.4,70.2,1
STU1119,Ashley White,12.5,95.2,7.1,0,1,0,1,1,65.1,63.7,1
STU1120,William Martin,2.3,54.7,6.0,1,1,1,0,0,59.4,25.1,0
STU1121,Thomas Taylor,3.7,77.7,7.0,3,2,1,1,0,69.1,28.3,0
STU1122,Betty Martin,11.0,95.3,5.2,0,1,1,1,1,82.3,69.9,1
STU1123,Barbara Miller,13.0,94.8,8.4,0,2,0,0,1,81.8,77.0,1
STU1124,Mary Williams,15.8,88.1,6.8,1,0,1,1,0,71.4,58.3,0
STU1125,Thomas Jones,8.7,80.6,8.3,0,1,0,0,1,64.9,56.2,0
STU1126,Thomas White,18.0,82.2,6.4,0,0,0,1,1,98.0,79.2,1
STU1127,Thomas Taylor,21.8,83.4,6.4,0,2,1,0,0,89.0,75.0,1
STU1128,Mary Johnson,19.9,67.9,6.1,0,1,0,0,0,62.7,48.3,0
STU1129,Margaret Perez,2.9,86.9,8.1,1,2,0,0,0,64.2,38.5,0
STU1130,Daniel Jones,13.1,84.9,6.1,0,2,0,0,0,66.8,56.4,0
STU1131,Ashley Smith,4.4,89.3,7.8,0,1,0,0,1,63.0,52.5,0
STU1132,James Jackson,7.6,98.1,6.5,3,1,1,0,0,53.7,33.1,0
STU1133,Sandra Johnson,24.7,84.3,4.6,0,1,1,0,1,75.1,73.8,1
STU1134,Christopher Lopez,5.3,88.3,6.3,0,1,0,0,1,86.9,65.0,1
STU1135,Betty Garcia,13.5,86.3,5.6,0,1,0,1,0,78.3,62.3,1
STU1136,Ashley Thompson,16.2,76.0,7.0,0,1,0,1,0,45.0,44.3,0
STU1137,Patricia Thompson,18.2,95.5,5.6,0,2,1,0,1,91.1,80.8,1
STU1138,David White,14.9,90.8,8.1,0,2,0,1,1,86.2,80.8,1
STU1139,Anthony Taylor,2.2,97.4,6.9,0,2,1,0,1,59.7,44.8,0
